Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
FURRS CAFETERIA #146	12 SOUTH IRVING	SAN ANGELO	76900	17510218690	00026	02/15/1973	12/04/1982
CHILDREN'S ADVOCACY CENTER OF GREATER WEST TEXAS	3301 SHERWOOD WAY	SAN ANGELO	76901	17524010018	00002	12/01/2021	12/01/2021
NEW LIFE BOOKS & GIFTS LLC	2002 W BEAUREGARD AVE	SAN ANGELO	76901	12011662306	00001	06/16/2004	09/30/2004
SAN ANGELO OPTHALMICS	911 LIVE OAK ST	SAN ANGELO	76901	17603889811	00002	01/01/2001	12/31/2011
WS6 RANCH, LLC	58 BUICK ST	SAN ANGELO	76901	32079903194	00001	08/01/2022	08/01/2022
'M' SYSTEM #3	3329 SHERWOOD WAY	SAN ANGELO	76901	17510565520	00004	08/28/1977	09/30/1993
'MERICA MOWING	2407 COLORADO AVE	SAN ANGELO	76901	32013578631	00004	10/16/2017	06/30/2019
"AA TV REPAIR"	3132 SHERWOOD WAY	SAN ANGELO	76901	32008382296	00005	06/01/1992	06/30/2004
"CAROL'S CORNER"	1702 WOODLAWN DR	SAN ANGELO	76901	32016020524	00002	08/20/1988	12/30/1995
"DETAILS" CABINETS AND HOME FURNISHINGS LLC	2205 W BEAUREGARD AVE	SAN ANGELO	76901	32061506880	00001	10/01/2016	03/31/2020
A & B CRAFTS	2014 CONCHITA ST	SAN ANGELO	76901	30003475024	00001	02/01/1978	01/01/1998
A & B CRAFTS	8006 WREN RD	SAN ANGELO	76901	32010180225	00001	07/01/1994	05/01/1995
A & B FREELAND FOUNTAIN	1827 FREELAND	SAN ANGELO	76901	30001457669	00001	03/09/1972	04/15/1972
A & D ANTIGUES AND GIFTS	1522 S JACKSON ST	SAN ANGELO	76901	32009037501	00002	03/08/2007	12/31/2007
A & D ANTIQUES AND GIFTS	1522 S JACKSON ST	SAN ANGELO	76901	32009037501	00001	04/01/1990	12/31/2002
A & D AUTOMOTIVE	1121 GLENNA DR	SAN ANGELO	76901	32005382935	00002	08/01/1990	04/10/1992
A & D THRIFT STORE	2720 SHERWOOD WAY	SAN ANGELO	76901	32030205572	00002	01/22/2018	12/31/2018
A & F TRAILER MANUFACTURING	8573 BURRELL RD	SAN ANGELO	76901	17529631420	00001	11/15/2001	07/31/2002
A & L ENTERPRISES	4108 SHERWOOD WAY STE 3	SAN ANGELO	76901	17525802785	00001	01/01/1996	09/30/1996
A & M EQUIPMENT	6022 LYNDHURST DR	SAN ANGELO	76901	32034247398	00001	12/05/2007	12/25/2009
A & M WELDING & CONSTRUCTION	1909 WALNUT ST	SAN ANGELO	76901	32031064317	00001	05/01/2007	05/01/2007
A & S DESIGN	905 N MONROE	SAN ANGELO	76901	30116147759	00001	01/27/1995	09/30/1995
A & T ANTIQUES	102 N JACKSON ST	SAN ANGELO	76901	32008083589	00005	01/01/2010	12/31/2017
A & W PERFORMANCE	1837 WILSON	SAN ANGELO	76901	32004988583	00001	03/10/1983	12/31/1985
A ACTION SMART START	3230 W HOUSTON HARTE EXPY	SAN ANGELO	76901	32014049525	00004	05/01/2012	
A B C PLUMBING	2311 LIVE OAK ST	SAN ANGELO	76901	32025536767	00001	08/20/1993	06/30/1996
A B DICK PRODUCTS CO OF SAN ANGELO	1011 W BEAUREGARD	SAN ANGELO	76901	32025846109	00001	07/01/1989	03/31/1991
A B DICK PRODUCTS OF SAN ANGELO	1011 W BEAUREGARD AVE	SAN ANGELO	76901	17518858109	00006	04/01/2001	05/20/2009
A B DICK PRODUCTS OF SAN ANGELO	1011 WEST BEAUGARD	SAN ANGELO	76901	17517491266	00006	01/01/1993	03/31/2001
A B KIMBLE	10710 W INDIAN CREEK RD	SAN ANGELO	76901	32018649031	00002	12/01/2005	03/31/2008
A BEST RESTORATION & CONVERIONS	1925 JUNIUS ST	SAN ANGELO	76901	32029944074	00006	11/29/1994	12/31/1995
A BETTER BUY AUTO PARTS & WRECKING	2539 FM2105	SAN ANGELO	76901	32015204038	00011	04/01/1994	12/01/2000
A BETTER SHINE	620 N JEFFERSON ST	SAN ANGELO	76901	32008372156	00001	07/01/1991	12/31/2012
A CATERED AFFAIR	4397 SUNSET DR STE 200	SAN ANGELO	76901	17514901192	00003	07/01/2012	04/30/2014
A COUPLE OF NUTS	13102 N ROLLIN ACRES RD	SAN ANGELO	76901	32011334565	00002	05/01/2003	12/25/2015
A D C BOOKKEEPING & TAX SERVICE	3138 SHERWOOD WAY	SAN ANGELO	76901	32008021027	00001	01/11/1991	05/23/2021
A D CLEMENS CO	111 S WASHINGTON ST	SAN ANGELO	76901	32028660481	00001	09/01/1961	03/31/1969
A H CONSTRUCTION	3022 W FM 2105	SAN ANGELO	76901	32011544825	00002	07/01/2005	08/30/2010
A HELPFUL HAND	2415 COLORADO AVE	SAN ANGELO	76901	32052820308	00001	12/16/2013	07/19/2015
A J BELLES	3010 W BEAUREGARD AVE	SAN ANGELO	76901	32025068407	00001	02/01/1986	08/15/1997
A J'S ECON-O-WASH	2106 N HOWARD ST	SAN ANGELO	76901	32030908167	00001	07/25/1978	12/31/1983
A L S COMPUTERS	1820 W AVENUE J	SAN ANGELO	76901	32006836202	00002	01/01/1997	07/19/1998
A LIBRA	115 S PARK ST	SAN ANGELO	76901	32017632731	00002	04/01/2008	12/25/2011
A LIBRA	110 ALEXANDER ST STE A	SAN ANGELO	76901	32017632731	00001	07/01/2005	03/31/2008
A LITTLE BIT OF SUM SUMTHING	2828 SAN ANTONIO ST APT 17	SAN ANGELO	76901	32013958643	00001	03/02/1998	06/30/1999
A MOBILE AUTO SERVICE	2655 RICE AVE	SAN ANGELO	76901	17516479023	00002	11/01/1979	02/24/1980
A PANE IN THE GLASS	1315 PASEO DE VACA ST	SAN ANGELO	76901	32041221170	00002	01/20/2012	05/15/2012
A R NISBET & SONS INC	MATHIS FIELD	SAN ANGELO	76901	17508531625	00001	09/01/1961	12/31/1972
A SAN ANGELO CONCRETE PRECAST S/TANK	501 WEST AVE S	SAN ANGELO	76901	30001532222	00003	10/01/1974	03/31/1975
A SIGN FANATIC	10748 W INDIAN CREEK RD	SAN ANGELO	76901	32007037461	00002	12/01/2016	
A SIGN FANATIC	10478 W INDIAN CREEK RD	SAN ANGELO	76901	32007037461	00001	08/03/2001	03/31/2015
A SIGN SERVICE COMPANY	2405 RANEY ST	SAN ANGELO	76901	32005901122	00001	01/21/1998	12/31/2003
A SOUTHERN GIRL'S GIFTS	9174 PARADISE LN	SAN ANGELO	76901	32063320512	00001	04/01/2017	06/30/2017
A SPOON FULL OF BUTTERCREAM	1929 RANEY ST APT 77	SAN ANGELO	76901	32015263596	00002	08/29/2016	09/30/2017
A TASTE OF TEXAS RESTAURANT	HWY 87 AND FM 2105 N	SAN ANGELO	76901	32032308424	00002	06/26/1985	10/03/1985
A TASTY BURGER	2216 SHERWOOD WAY	SAN ANGELO	76901	32004849751	00001	07/01/1965	11/30/1968
A TO Z RENTAL CENTER OF SAN ANGELO	3275 ARDEN ROAD	SAN ANGELO	76901	17513166110	00003	11/23/1970	12/31/1972
A TOUCH OF EUROPE	1 NORTH MILTON	SAN ANGELO	76901	32021408276	00001	06/01/1982	09/30/1983
A TOUCH OF HEAVEN LANDSCAPE & LAWN MAINTENANCE	8 S BISHOP ST	SAN ANGELO	76901	32007286068	00001	08/02/2002	09/30/2002
A TOUCH OF ME CRAFTS & DESIGNS	1310 W BEAUREGARD	SAN ANGELO	76901	32005590941	00002	03/13/1993	07/31/1994
A V SYSTEMS	2409 SHERWOOD WAY	SAN ANGELO	76901	17526042068	00002	10/01/1999	01/30/2006
A V SYSTEMS INC	2120 W BEAUREGARD AVE	SAN ANGELO	76901	17526042068	00004	11/01/2007	
A V SYSTEMS INC	2030 W HARRIS AVE	SAN ANGELO	76901	17526042068	00001	07/17/1995	09/30/1999
A WOMANS TOUCH GRIP	3529 BIGHORN TRL	SAN ANGELO	76901	32060876789	00002	01/01/2022	
A&B CRAFTS	8006 WREN RD	SAN ANGELO	76901	32010180225	00002	08/14/2001	12/31/2002
A&B CREATIONS	615 ANGELO BLVD	SAN ANGELO	76901	32086821769	00001	11/15/2022	
A&D THRIFT STORE	2720 SHERWOOD WAY	SAN ANGELO	76901	32030205572	00001	07/22/2016	06/30/2017
A&M EQUIPMENT	6022 LYNDHURST DR	SAN ANGELO	76901	32034247398	00002	01/10/2019	12/31/2020
A&M EQUIPMENT, LLC	6022 LYNDHURST DR	SAN ANGELO	76901	32077242942	00001	01/05/2021	
A&M KUSTOMS ACCESSORIES	1720 N VAN BUREN ST	SAN ANGELO	76901	32009150262	00003	10/01/2001	12/31/2010
A&M LAWN CARE	8201 SUNFLOWER AVE LOT 4	SAN ANGELO	76901	32028455700	00004	02/11/1999	03/31/1999
